activity_id,deal_id,rep_name,activity_type,activity_date,duration_min,outcome
ACT-000031,DL-10002,Carlos Rivera,Follow-up,2023-05-23,45,Positive
ACT-000032,DL-10002,Carlos Rivera,Email,2023-03-26,60,Positive
ACT-000033,DL-10002,Carlos Rivera,Meeting,2023-05-06,45,Neutral
ACT-000034,DL-10002,Carlos Rivera,Follow-up,2023-04-26,60,Negative
ACT-000035,DL-10002,Carlos Rivera,Follow-up,2023-03-05,90,Positive
ACT-000036,DL-10002,Carlos Rivera,Email,2023-06-15,15,Neutral
ACT-000037,DL-10002,Carlos Rivera,Follow-up,2023-05-11,30,Positive
ACT-000038,DL-10002,Carlos Rivera,Call,2023-04-15,45,Negative
ACT-000039,DL-10002,Carlos Rivera,Call,2023-03-28,30,Positive
ACT-000040,DL-10002,Carlos Rivera,Follow-up,2023-06-30,90,Positive
ACT-000041,DL-10002,Carlos Rivera,Follow-up,2023-05-21,15,Positive
ACT-000042,DL-10002,Carlos Rivera,Demo,2023-04-05,60,Positive
ACT-000043,DL-10003,Diana Patel,Demo,2022-08-10,60,Positive
ACT-000044,DL-10003,Diana Patel,Email,2022-04-26,30,Positive
ACT-000045,DL-10003,Diana Patel,Email,2022-07-02,90,Positive
ACT-000046,DL-10003,Diana Patel,Follow-up,2022-06-21,30,Neutral
ACT-000047,DL-10004,Ethan Park,Follow-up,2023-12-25,45,Positive
ACT-000048,DL-10004,Ethan Park,Email,2024-01-13,45,Neutral
ACT-000049,DL-10004,Ethan Park,Demo,2023-12-30,45,Neutral
ACT-000050,DL-10004,Ethan Park,Meeting,2023-12-05,45,Neutral
ACT-000051,DL-10005,Fiona Walsh,Email,2022-04-27,30,Positive
ACT-000052,DL-10005,Fiona Walsh,Meeting,2022-03-09,45,Positive
ACT-000053,DL-10005,Fiona Walsh,Meeting,2022-02-08,30,Positive
ACT-000054,DL-10005,Fiona Walsh,Proposal Sent,2022-01-16,60,Neutral
ACT-000055,DL-10006,George Kim,Meeting,2022-11-05,30,Positive
ACT-000056,DL-10006,George Kim,Call,2022-11-10,60,Neutral
ACT-000057,DL-10007,Hannah Brooks,Follow-up,2022-04-19,45,Positive
ACT-000058,DL-10007,Hannah Brooks,Demo,2022-03-01,30,Neutral
ACT-000059,DL-10007,Hannah Brooks,Demo,2022-06-05,30,Positive
ACT-000060,DL-10007,Hannah Brooks,Meeting,2022-05-25,60,Positive
ACT-000061,DL-10007,Hannah Brooks,Email,2022-04-10,15,Positive
ACT-000062,DL-10007,Hannah Brooks,Proposal Sent,2022-03-26,45,Positive
ACT-000063,DL-10007,Hannah Brooks,Email,2022-06-02,15,Positive
ACT-000064,DL-10007,Hannah Brooks,Follow-up,2022-02-23,15,Neutral
ACT-000065,DL-10007,Hannah Brooks,Demo,2022-03-28,45,Negative
ACT-000066,DL-10007,Hannah Brooks,Meeting,2022-04-02,90,Negative
ACT-000067,DL-10007,Hannah Brooks,Follow-up,2022-06-03,30,Positive
ACT-000068,DL-10007,Hannah Brooks,Email,2022-06-05,60,Negative
ACT-000069,DL-10007,Hannah Brooks,Proposal Sent,2022-05-02,60,Positive
ACT-000070,DL-10008,Alice Morgan,Demo,2023-12-25,45,Positive
ACT-000071,DL-10008,Alice Morgan,Proposal Sent,2024-02-21,90,Neutral
ACT-000072,DL-10008,Alice Morgan,Email,2024-01-05,60,Neutral
ACT-000073,DL-10008,Alice Morgan,Follow-up,2024-02-11,60,Neutral
ACT-000074,DL-10008,Alice Morgan,Call,2024-03-14,30,Positive
ACT-000075,DL-10008,Alice Morgan,Meeting,2024-02-04,60,Positive
ACT-000076,DL-10008,Alice Morgan,Follow-up,2024-01-09,30,Neutral
ACT-000077,DL-10009,Brian Chen,Meeting,2022-11-04,30,Positive
ACT-000078,DL-10009,Brian Chen,Proposal Sent,2022-09-28,90,Neutral
ACT-000079,DL-10009,Brian Chen,Demo,2022-12-26,45,Positive
ACT-000080,DL-10009,Brian Chen,Proposal Sent,2022-12-04,60,Neutral
ACT-000081,DL-10009,Brian Chen,Call,2023-01-04,45,Positive
ACT-000082,DL-10010,Carlos Rivera,Meeting,2022-11-30,60,Positive
ACT-000083,DL-10010,Carlos Rivera,Demo,2022-12-14,90,Positive
ACT-000084,DL-10010,Carlos Rivera,Call,2022-09-17,60,Positive
ACT-000085,DL-10010,Carlos Rivera,Email,2022-10-25,30,Positive
ACT-000086,DL-10010,Carlos Rivera,Call,2022-09-30,60,Positive
ACT-000087,DL-10010,Carlos Rivera,Call,2022-08-22,30,Neutral
ACT-000088,DL-10010,Carlos Rivera,Follow-up,2022-08-24,60,Neutral
ACT-000089,DL-10010,Carlos Rivera,Meeting,2022-11-22,30,Positive
ACT-000090,DL-10010,Carlos Rivera,Call,2022-12-05,45,Neutral
ACT-000091,DL-10010,Carlos Rivera,Call,2022-09-10,30,Positive
ACT-000092,DL-10010,Carlos Rivera,Proposal Sent,2022-11-05,45,Neutral
ACT-000093,DL-10010,Carlos Rivera,Follow-up,2022-10-23,60,Positive
ACT-000094,DL-10010,Carlos Rivera,Proposal Sent,2022-10-11,15,Neutral
ACT-000095,DL-10010,Carlos Rivera,Meeting,2022-10-07,15,Neutral
ACT-000096,DL-10010,Carlos Rivera,Email,2022-11-29,30,Neutral
ACT-000097,DL-10010,Carlos Rivera,Follow-up,2022-08-22,60,Positive
ACT-000098,DL-10010,Carlos Rivera,Follow-up,2022-11-09,60,Neutral
ACT-000099,DL-10010,Carlos Rivera,Email,2022-12-10,45,Neutral
ACT-000100,DL-10010,Carlos Rivera,Meeting,2022-10-17,30,Positive
ACT-000101,DL-10010,Carlos Rivera,Follow-up,2022-11-30,30,Neutral
ACT-000102,DL-10010,Carlos Rivera,Demo,2022-09-15,30,Positive
ACT-000103,DL-10010,Carlos Rivera,Follow-up,2022-11-03,45,Positive
ACT-000104,DL-10010,Carlos Rivera,Email,2022-11-07,30,Negative
ACT-000105,DL-10010,Carlos Rivera,Demo,2022-09-16,60,Positive
ACT-000106,DL-10010,Carlos Rivera,Call,2022-08-22,90,Neutral
ACT-000107,DL-10010,Carlos Rivera,Meeting,2022-09-17,15,Positive
ACT-000108,DL-10010,Carlos Rivera,Call,2022-11-04,60,Positive
ACT-000109,DL-10010,Carlos Rivera,Meeting,2022-11-26,30,Positive
ACT-000110,DL-10010,Carlos Rivera,Proposal Sent,2022-11-25,45,Positive
ACT-000111,DL-10010,Carlos Rivera,Email,2022-09-04,60,Positive
ACT-000112,DL-10010,Carlos Rivera,Call,2022-12-10,30,Negative
ACT-000113,DL-10010,Carlos Rivera,Follow-up,2022-09-11,30,Neutral
ACT-000114,DL-10010,Carlos Rivera,Proposal Sent,2022-10-26,45,Positive
ACT-000115,DL-10010,Carlos Rivera,Demo,2022-09-02,30,Positive
ACT-000116,DL-10010,Carlos Rivera,Email,2022-10-17,30,Neutral
ACT-000117,DL-10011,Diana Patel,Meeting,2023-11-07,45,Positive
ACT-000118,DL-10011,Diana Patel,Meeting,2023-09-24,60,Positive
ACT-000119,DL-10011,Diana Patel,Demo,2023-11-27,60,Positive
ACT-000120,DL-10012,Ethan Park,Demo,2023-06-22,15,Neutral
ACT-000121,DL-10012,Ethan Park,Meeting,2023-05-08,60,Neutral
ACT-000122,DL-10012,Ethan Park,Proposal Sent,2023-07-28,45,Positive
ACT-000123,DL-10013,Fiona Walsh,Email,2022-05-06,15,Positive
ACT-000124,DL-10013,Fiona Walsh,Call,2022-07-27,45,Positive
ACT-000125,DL-10013,Fiona Walsh,Email,2022-07-15,60,Positive
ACT-000126,DL-10013,Fiona Walsh,Meeting,2022-06-19,60,Neutral
ACT-000127,DL-10013,Fiona Walsh,Meeting,2022-05-14,30,Neutral
ACT-000128,DL-10013,Fiona Walsh,Email,2022-06-14,45,Negative
ACT-000129,DL-10013,Fiona Walsh,Proposal Sent,2022-07-02,60,Neutral
ACT-000130,DL-10013,Fiona Walsh,Follow-up,2022-04-07,30,Negative
ACT-000131,DL-10013,Fiona Walsh,Meeting,2022-05-10,90,Positive
ACT-000132,DL-10013,Fiona Walsh,Call,2022-06-10,30,Positive
ACT-000133,DL-10013,Fiona Walsh,Email,2022-04-21,30,Positive
ACT-000134,DL-10013,Fiona Walsh,Demo,2022-06-02,45,Neutral
ACT-000135,DL-10013,Fiona Walsh,Meeting,2022-05-11,30,Positive
ACT-000136,DL-10013,Fiona Walsh,Proposal Sent,2022-07-05,15,Positive
ACT-000137,DL-10014,George Kim,Call,2024-05-12,15,Neutral
ACT-000138,DL-10014,George Kim,Call,2024-05-03,60,Neutral
ACT-000139,DL-10014,George Kim,Follow-up,2024-03-03,60,Negative
ACT-000140,DL-10014,George Kim,Call,2024-01-30,45,Positive
ACT-000141,DL-10014,George Kim,Meeting,2024-04-09,15,Positive
ACT-000142,DL-10014,George Kim,Email,2024-03-13,90,Neutral
ACT-000143,DL-10014,George Kim,Proposal Sent,2024-04-11,60,Neutral
ACT-000144,DL-10014,George Kim,Meeting,2024-02-02,30,Positive
ACT-000145,DL-10014,George Kim,Follow-up,2024-05-15,15,Neutral
ACT-000146,DL-10014,George Kim,Proposal Sent,2024-05-06,30,Positive
ACT-000147,DL-10014,George Kim,Proposal Sent,2024-02-05,60,Neutral
ACT-000148,DL-10014,George Kim,Follow-up,2024-03-29,60,Neutral
ACT-000149,DL-10014,George Kim,Demo,2024-03-16,30,Negative
ACT-000150,DL-10014,George Kim,Email,2024-04-11,30,Positive
ACT-000151,DL-10014,George Kim,Call,2024-03-05,30,Positive
ACT-000152,DL-10014,George Kim,Meeting,2024-02-28,45,Positive
ACT-000153,DL-10014,George Kim,Meeting,2024-04-15,30,Positive
ACT-000154,DL-10014,George Kim,Follow-up,2024-03-17,90,Neutral
ACT-000155,DL-10014,George Kim,Demo,2024-02-01,30,Positive
ACT-000156,DL-10014,George Kim,Proposal Sent,2024-03-12,30,Neutral
ACT-000157,DL-10014,George Kim,Meeting,2024-05-12,45,Neutral
ACT-000158,DL-10014,George Kim,Demo,2024-04-22,30,Negative
ACT-000159,DL-10014,George Kim,Email,2024-03-05,45,Positive
ACT-000160,DL-10014,George Kim,Proposal Sent,2024-02-21,45,Positive
ACT-000161,DL-10014,George Kim,Meeting,2024-01-19,60,Neutral
ACT-000162,DL-10014,George Kim,Proposal Sent,2024-04-12,45,Positive
ACT-000163,DL-10014,George Kim,Call,2024-02-02,60,Neutral
ACT-000164,DL-10014,George Kim,Follow-up,2024-02-11,60,Positive
ACT-000165,DL-10014,George Kim,Email,2024-01-28,30,Neutral
ACT-000166,DL-10014,George Kim,Call,2024-04-09,45,Negative
ACT-000167,DL-10014,George Kim,Call,2024-04-13,30,Positive
ACT-000168,DL-10015,Hannah Brooks,Demo,2024-04-29,45,Positive
ACT-000169,DL-10015,Hannah Brooks,Call,2024-05-13,30,Neutral
ACT-000170,DL-10015,Hannah Brooks,Proposal Sent,2024-06-27,60,Positive
ACT-000171,DL-10015,Hannah Brooks,Email,2024-06-17,60,Negative
ACT-000172,DL-10015,Hannah Brooks,Meeting,2024-04-05,60,Positive
ACT-000173,DL-10015,Hannah Brooks,Proposal Sent,2024-05-20,30,Positive
ACT-000174,DL-10015,Hannah Brooks,Follow-up,2024-05-29,30,Positive
ACT-000175,DL-10015,Hannah Brooks,Meeting,2024-07-08,30,Negative
ACT-000176,DL-10015,Hannah Brooks,Proposal Sent,2024-04-26,45,Neutral
ACT-000177,DL-10015,Hannah Brooks,Follow-up,2024-06-03,30,Positive
ACT-000178,DL-10015,Hannah Brooks,Proposal Sent,2024-03-26,60,Neutral
ACT-000179,DL-10015,Hannah Brooks,Follow-up,2024-04-15,30,Positive
ACT-000180,DL-10015,Hannah Brooks,Proposal Sent,2024-07-18,30,Positive
ACT-000181,DL-10015,Hannah Brooks,Follow-up,2024-04-27,45,Positive
ACT-000182,DL-10015,Hannah Brooks,Meeting,2024-06-14,45,Positive
ACT-000183,DL-10015,Hannah Brooks,Demo,2024-06-05,90,Positive
ACT-000184,DL-10015,Hannah Brooks,Follow-up,2024-05-10,60,Negative
ACT-000185,DL-10015,Hannah Brooks,Demo,2024-06-28,30,Positive
ACT-000186,DL-10015,Hannah Brooks,Demo,2024-07-04,45,Positive
ACT-000187,DL-10015,Hannah Brooks,Proposal Sent,2024-07-19,90,Positive
ACT-000188,DL-10015,Hannah Brooks,Demo,2024-04-19,45,Neutral
ACT-000189,DL-10016,Alice Morgan,Email,2023-12-13,30,Neutral
ACT-000190,DL-10016,Alice Morgan,Demo,2024-01-06,45,Positive
ACT-000191,DL-10016,Alice Morgan,Demo,2023-11-25,30,Positive
ACT-000192,DL-10016,Alice Morgan,Follow-up,2023-09-29,90,Positive
ACT-000193,DL-10016,Alice Morgan,Follow-up,2024-01-17,45,Neutral
ACT-000194,DL-10017,Brian Chen,Proposal Sent,2023-08-02,60,Neutral
ACT-000195,DL-10017,Brian Chen,Meeting,2023-06-11,15,Neutral
ACT-000196,DL-10017,Brian Chen,Email,2023-05-24,60,Neutral
ACT-000197,DL-10018,Carlos Rivera,Follow-up,2022-10-11,90,Positive
ACT-000198,DL-10018,Carlos Rivera,Call,2022-08-24,45,Positive
ACT-000199,DL-10018,Carlos Rivera,Email,2022-08-15,60,Negative
ACT-000200,DL-10018,Carlos Rivera,Call,2022-08-12,45,Neutral
ACT-000201,DL-10018,Carlos Rivera,Email,2022-07-02,30,Positive
ACT-000202,DL-10018,Carlos Rivera,Meeting,2022-09-21,60,Neutral
ACT-000203,DL-10018,Carlos Rivera,Demo,2022-09-09,45,Positive
ACT-000204,DL-10018,Carlos Rivera,Call,2022-07-09,45,Neutral
ACT-000205,DL-10018,Carlos Rivera,Demo,2022-08-04,90,Positive
ACT-000206,DL-10018,Carlos Rivera,Meeting,2022-10-24,30,Positive
ACT-000207,DL-10019,Diana Patel,Follow-up,2023-06-02,60,Neutral
ACT-000208,DL-10019,Diana Patel,Follow-up,2023-08-12,30,Neutral
ACT-000209,DL-10020,Ethan Park,Meeting,2022-09-15,15,Neutral
ACT-000210,DL-10020,Ethan Park,Call,2022-07-16,60,Negative
ACT-000211,DL-10020,Ethan Park,Email,2022-09-26,30,Neutral
ACT-000212,DL-10020,Ethan Park,Proposal Sent,2022-11-01,15,Neutral
ACT-000213,DL-10020,Ethan Park,Call,2022-08-10,30,Neutral
ACT-000214,DL-10020,Ethan Park,Demo,2022-08-18,30,Positive
ACT-000215,DL-10020,Ethan Park,Email,2022-11-03,45,Positive
ACT-000216,DL-10020,Ethan Park,Proposal Sent,2022-10-16,30,Positive
ACT-000217,DL-10020,Ethan Park,Demo,2022-10-24,30,Neutral
ACT-000218,DL-10021,Fiona Walsh,Follow-up,2022-11-29,45,Positive
ACT-000219,DL-10021,Fiona Walsh,Meeting,2022-09-05,90,Positive
ACT-000220,DL-10021,Fiona Walsh,Meeting,2022-09-29,60,Positive
ACT-000221,DL-10021,Fiona Walsh,Meeting,2022-11-10,30,Neutral
ACT-000222,DL-10021,Fiona Walsh,Call,2022-11-16,15,Positive
ACT-000223,DL-10021,Fiona Walsh,Email,2022-08-31,60,Negative
ACT-000224,DL-10021,Fiona Walsh,Meeting,2022-09-07,30,Positive
ACT-000225,DL-10021,Fiona Walsh,Follow-up,2022-10-29,15,Neutral
ACT-000226,DL-10021,Fiona Walsh,Call,2022-09-27,30,Neutral
ACT-000227,DL-10021,Fiona Walsh,Demo,2022-12-08,30,Positive
ACT-000228,DL-10021,Fiona Walsh,Demo,2022-11-21,45,Negative
ACT-000229,DL-10021,Fiona Walsh,Proposal Sent,2022-09-30,15,Neutral
ACT-000230,DL-10021,Fiona Walsh,Email,2022-11-17,30,Neutral
ACT-000231,DL-10021,Fiona Walsh,Call,2022-10-28,60,Positive
ACT-000232,DL-10021,Fiona Walsh,Meeting,2022-12-09,30,Positive
ACT-000233,DL-10021,Fiona Walsh,Proposal Sent,2022-09-27,15,Positive
ACT-000234,DL-10021,Fiona Walsh,Email,2022-09-02,30,Neutral
ACT-000235,DL-10021,Fiona Walsh,Meeting,2022-09-03,15,Neutral
ACT-000236,DL-10021,Fiona Walsh,Email,2022-12-12,15,Negative
ACT-000237,DL-10021,Fiona Walsh,Follow-up,2022-12-05,60,Neutral
ACT-000238,DL-10021,Fiona Walsh,Email,2022-10-17,30,Positive
ACT-000239,DL-10021,Fiona Walsh,Proposal Sent,2022-08-31,60,Neutral
ACT-000240,DL-10022,George Kim,Meeting,2022-10-24,60,Positive
ACT-000241,DL-10022,George Kim,Demo,2022-12-11,30,Positive
ACT-000242,DL-10022,George Kim,Demo,2022-10-31,45,Negative
ACT-000243,DL-10022,George Kim,Proposal Sent,2022-11-29,60,Positive
ACT-000244,DL-10022,George Kim,Meeting,2022-10-04,15,Positive
ACT-000245,DL-10023,Hannah Brooks,Meeting,2022-06-03,45,Positive
ACT-000246,DL-10023,Hannah Brooks,Proposal Sent,2022-05-24,90,Positive
ACT-000247,DL-10023,Hannah Brooks,Call,2022-05-31,90,Positive
ACT-000248,DL-10023,Hannah Brooks,Meeting,2022-05-10,30,Neutral
ACT-000249,DL-10023,Hannah Brooks,Proposal Sent,2022-06-24,30,Positive
ACT-000250,DL-10023,Hannah Brooks,Follow-up,2022-07-20,60,Negative
ACT-000251,DL-10024,Alice Morgan,Proposal Sent,2023-11-18,60,Positive
ACT-000252,DL-10024,Alice Morgan,Call,2024-01-10,30,Positive
ACT-000253,DL-10024,Alice Morgan,Email,2023-11-07,30,Positive
ACT-000254,DL-10024,Alice Morgan,Email,2023-10-29,30,Positive
ACT-000255,DL-10024,Alice Morgan,Demo,2023-10-29,60,Neutral
ACT-000256,DL-10024,Alice Morgan,Demo,2023-11-08,30,Positive
ACT-000257,DL-10024,Alice Morgan,Email,2023-12-03,15,Negative
ACT-000258,DL-10024,Alice Morgan,Proposal Sent,2024-01-17,90,Positive
ACT-000259,DL-10025,Brian Chen,Call,2022-09-22,90,Positive
ACT-000260,DL-10025,Brian Chen,Meeting,2022-09-09,45,Positive
ACT-000261,DL-10026,Carlos Rivera,Email,2023-02-15,30,Positive
ACT-000262,DL-10026,Carlos Rivera,Meeting,2023-01-05,45,Positive
ACT-000263,DL-10026,Carlos Rivera,Demo,2022-12-28,30,Neutral
ACT-000264,DL-10026,Carlos Rivera,Follow-up,2022-12-29,45,Neutral
ACT-000265,DL-10026,Carlos Rivera,Follow-up,2023-02-23,30,Positive
ACT-000266,DL-10026,Carlos Rivera,Call,2023-01-25,60,Negative
ACT-000267,DL-10026,Carlos Rivera,Call,2023-02-28,60,Neutral
ACT-000268,DL-10027,Diana Patel,Proposal Sent,2024-06-08,60,Neutral
ACT-000269,DL-10027,Diana Patel,Proposal Sent,2024-07-25,90,Neutral
ACT-000270,DL-10027,Diana Patel,Demo,2024-09-02,45,Negative
ACT-000271,DL-10027,Diana Patel,Meeting,2024-08-11,15,Positive
ACT-000272,DL-10027,Diana Patel,Follow-up,2024-07-08,45,Positive
ACT-000273,DL-10027,Diana Patel,Demo,2024-06-05,45,Positive
ACT-000274,DL-10027,Diana Patel,Follow-up,2024-05-18,60,Positive
ACT-000275,DL-10027,Diana Patel,Call,2024-07-06,45,Negative
ACT-000276,DL-10027,Diana Patel,Proposal Sent,2024-08-16,15,Neutral
ACT-000277,DL-10028,Ethan Park,Follow-up,2024-07-16,60,Neutral
ACT-000278,DL-10028,Ethan Park,Follow-up,2024-08-21,30,Positive
ACT-000279,DL-10029,Fiona Walsh,Meeting,2022-12-20,60,Neutral
ACT-000280,DL-10029,Fiona Walsh,Email,2022-10-11,45,Positive
ACT-000281,DL-10030,George Kim,Meeting,2024-10-10,60,Positive
ACT-000282,DL-10030,George Kim,Demo,2024-09-09,60,Positive
ACT-000283,DL-10030,George Kim,Email,2024-09-20,60,Neutral
ACT-000284,DL-10030,George Kim,Call,2024-09-07,15,Neutral
ACT-000285,DL-10030,George Kim,Meeting,2024-06-27,90,Positive
ACT-000286,DL-10031,Hannah Brooks,Call,2023-06-16,60,Negative
ACT-000287,DL-10031,Hannah Brooks,Call,2023-06-25,60,Positive
ACT-000288,DL-10032,Alice Morgan,Follow-up,2023-06-20,30,Positive
ACT-000289,DL-10032,Alice Morgan,Email,2023-06-19,60,Positive
ACT-000290,DL-10032,Alice Morgan,Follow-up,2023-08-14,30,Negative
ACT-000291,DL-10032,Alice Morgan,Meeting,2023-07-22,30,Positive
ACT-000292,DL-10032,Alice Morgan,Proposal Sent,2023-10-05,30,Positive
ACT-000293,DL-10032,Alice Morgan,Email,2023-09-02,90,Positive
ACT-000294,DL-10032,Alice Morgan,Follow-up,2023-08-19,30,Negative
ACT-000295,DL-10033,Brian Chen,Demo,2024-08-28,30,Neutral
ACT-000296,DL-10033,Brian Chen,Proposal Sent,2024-09-09,15,Neutral
ACT-000297,DL-10033,Brian Chen,Proposal Sent,2024-07-02,60,Positive
ACT-000298,DL-10033,Brian Chen,Email,2024-10-09,15,Positive
ACT-000299,DL-10033,Brian Chen,Demo,2024-08-16,30,Negative
ACT-000300,DL-10033,Brian Chen,Proposal Sent,2024-10-07,30,Negative
ACT-000301,DL-10033,Brian Chen,Call,2024-07-29,30,Neutral
ACT-000302,DL-10033,Brian Chen,Follow-up,2024-09-19,90,Positive
ACT-000303,DL-10033,Brian Chen,Meeting,2024-09-22,45,Neutral
ACT-000304,DL-10033,Brian Chen,Email,2024-07-24,60,Positive
ACT-000305,DL-10033,Brian Chen,Email,2024-10-24,30,Positive
ACT-000306,DL-10033,Brian Chen,Email,2024-08-20,90,Positive
ACT-000307,DL-10033,Brian Chen,Call,2024-08-23,30,Positive
ACT-000308,DL-10033,Brian Chen,Follow-up,2024-07-01,60,Negative
ACT-000309,DL-10033,Brian Chen,Demo,2024-07-18,60,Negative
ACT-000310,DL-10033,Brian Chen,Email,2024-09-04,90,Neutral
ACT-000311,DL-10033,Brian Chen,Demo,2024-07-18,30,Positive
ACT-000312,DL-10033,Brian Chen,Call,2024-07-30,45,Neutral
ACT-000313,DL-10033,Brian Chen,Email,2024-09-11,30,Neutral
ACT-000314,DL-10033,Brian Chen,Demo,2024-08-26,30,Neutral
ACT-000315,DL-10033,Brian Chen,Proposal Sent,2024-09-02,60,Negative
ACT-000316,DL-10033,Brian Chen,Call,2024-10-21,45,Neutral
ACT-000317,DL-10033,Brian Chen,Meeting,2024-10-11,45,Positive
ACT-000318,DL-10033,Brian Chen,Meeting,2024-10-10,15,Neutral
ACT-000319,DL-10033,Brian Chen,Meeting,2024-10-14,60,Positive
ACT-000320,DL-10033,Brian Chen,Call,2024-10-17,45,Neutral
ACT-000321,DL-10033,Brian Chen,Proposal Sent,2024-07-05,90,Neutral
ACT-000322,DL-10033,Brian Chen,Call,2024-10-16,60,Positive
ACT-000323,DL-10033,Brian Chen,Demo,2024-09-13,45,Negative
ACT-000324,DL-10033,Brian Chen,Follow-up,2024-08-01,45,Positive
ACT-000325,DL-10033,Brian Chen,Email,2024-09-11,30,Neutral
ACT-000326,DL-10033,Brian Chen,Proposal Sent,2024-08-09,45,Positive
ACT-000327,DL-10033,Brian Chen,Meeting,2024-10-14,15,Neutral
ACT-000328,DL-10033,Brian Chen,Follow-up,2024-07-14,90,Neutral
ACT-000329,DL-10033,Brian Chen,Follow-up,2024-10-11,45,Positive
ACT-000330,DL-10033,Brian Chen,Proposal Sent,2024-08-20,90,Positive
ACT-000331,DL-10033,Brian Chen,Meeting,2024-10-16,90,Neutral
ACT-000332,DL-10034,Carlos Rivera,Follow-up,2024-06-07,30,Neutral
ACT-000333,DL-10034,Carlos Rivera,Follow-up,2024-06-01,90,Positive
ACT-000334,DL-10034,Carlos Rivera,Email,2024-06-23,60,Positive
ACT-000335,DL-10034,Carlos Rivera,Proposal Sent,2024-06-14,45,Positive
ACT-000336,DL-10034,Carlos Rivera,Call,2024-05-12,60,Positive
ACT-000337,DL-10034,Carlos Rivera,Demo,2024-06-06,30,Positive
ACT-000338,DL-10034,Carlos Rivera,Call,2024-04-24,60,Positive
ACT-000339,DL-10034,Carlos Rivera,Demo,2024-05-04,60,Positive
ACT-000340,DL-10034,Carlos Rivera,Meeting,2024-06-10,60,Neutral
ACT-000341,DL-10034,Carlos Rivera,Demo,2024-05-15,90,Neutral
ACT-000342,DL-10034,Carlos Rivera,Email,2024-06-16,60,Positive
ACT-000343,DL-10034,Carlos Rivera,Demo,2024-06-03,45,Neutral
ACT-000344,DL-10034,Carlos Rivera,Proposal Sent,2024-04-16,45,Positive
ACT-000345,DL-10034,Carlos Rivera,Meeting,2024-06-11,60,Neutral
ACT-000346,DL-10034,Carlos Rivera,Proposal Sent,2024-06-05,60,Negative
ACT-000347,DL-10034,Carlos Rivera,Demo,2024-06-30,15,Positive
ACT-000348,DL-10034,Carlos Rivera,Proposal Sent,2024-04-19,60,Positive
ACT-000349,DL-10034,Carlos Rivera,Meeting,2024-07-13,30,Negative
ACT-000350,DL-10034,Carlos Rivera,Email,2024-05-26,30,Neutral
ACT-000351,DL-10034,Carlos Rivera,Call,2024-05-12,45,Neutral
ACT-000352,DL-10034,Carlos Rivera,Email,2024-05-01,30,Neutral
ACT-000353,DL-10034,Carlos Rivera,Follow-up,2024-07-14,30,Neutral
ACT-000354,DL-10034,Carlos Rivera,Proposal Sent,2024-06-13,15,Positive
ACT-000355,DL-10034,Carlos Rivera,Meeting,2024-03-28,60,Negative
